iter	Logloss
0	0.693087961
1	0.6930272742
2	0.6929661395
3	0.6929011603
4	0.692831519
5	0.6927788077
6	0.6927078478
7	0.6926465286
8	0.6925762167
9	0.6925144181
10	0.692444719
11	0.6923802093
12	0.6923202052
13	0.6922600343
14	0.6921986478
15	0.6921326934
16	0.6920646879
17	0.6919961293
18	0.691951774
19	0.6918827733
20	0.6918193951
21	0.6917592397
22	0.6917039041
23	0.691630101
24	0.6915636968
25	0.6915111227
26	0.6914445622
27	0.6913760224
28	0.6913139638
29	0.6912473604
30	0.6911824995
31	0.6911199491
32	0.6910646809
33	0.690992522
34	0.6909271917
35	0.690858665
36	0.6907904256
37	0.6907335613
38	0.6906751488
39	0.6906052209
40	0.690540441
41	0.6904764522
42	0.6904374659
43	0.6903665322
44	0.6902933519
45	0.6902331261
46	0.6901634669
47	0.6901017549
48	0.6900398392
49	0.6899742635
50	0.689903585
51	0.6898317516
52	0.6897795197
53	0.6897124552
54	0.6896460066
55	0.6895849207
56	0.6895184946
57	0.6894458172
58	0.6893757363
59	0.6893042795
60	0.689233071
61	0.6891711976
62	0.6891106451
63	0.6890512897
64	0.6889845865
65	0.6889141384
66	0.6888458538
67	0.688775043
68	0.6887107017
69	0.68863875
70	0.6885786846
71	0.6885098137
72	0.6884490562
73	0.6883898014
74	0.6883274794
75	0.6882772792
76	0.6882109434
77	0.6881537737
78	0.6880964771
79	0.6880296985
80	0.6879673469
81	0.6878981957
82	0.6878358583
83	0.6877769942
84	0.6877106491
85	0.6876404719
86	0.6875791761
87	0.6875160416
88	0.6874513977
89	0.6873762341
90	0.6873053803
91	0.6872413041
92	0.6871805818
93	0.6871127283
94	0.6870504319
95	0.6869800529
96	0.6869048473
97	0.686837162
98	0.686779098
99	0.6867183058
100	0.6866574122
101	0.686597382
102	0.6865394753
103	0.686482452
104	0.6864266528
105	0.6863673203
106	0.6863119786
107	0.6862507801
108	0.6861801923
109	0.6861092479
110	0.6860362717
111	0.6859765517
112	0.6859177338
113	0.6858496165
114	0.6857862366
115	0.6857226565
116	0.6856481261
117	0.6855822838
118	0.6855160276
119	0.6854537248
120	0.6853895501
121	0.6853175992
122	0.6852479658
123	0.6851842642
124	0.6851130918
125	0.6850416459
126	0.6849757732
127	0.6849027436
128	0.6848322233
129	0.6847655552
130	0.6847024961
131	0.6846390393
132	0.6845762382
133	0.6845210472
134	0.6844769164
135	0.6844028041
136	0.684340957
137	0.6842965565
138	0.6842302908
139	0.6841780369
140	0.6841175749
141	0.6840639162
142	0.6839971368
143	0.6839492435
144	0.6838941188
145	0.6838334608
146	0.6837713112
147	0.6837017946
148	0.6836257322
149	0.6835645137
150	0.6834973474
151	0.6834305743
152	0.6833712364
153	0.6833015168
154	0.6832420055
155	0.6831734501
156	0.6831018493
157	0.6830307959
158	0.6829678765
159	0.6829042035
160	0.6828415194
161	0.6827795541
162	0.6827162283
163	0.6826546256
164	0.6825847816
165	0.6825170292
166	0.6824432353
167	0.6823874561
168	0.6823209367
169	0.6822577094
170	0.6821912152
171	0.6821243824
172	0.6820567583
173	0.6819977495
174	0.6819420003
175	0.6818801021
176	0.6818226642
177	0.6817622198
178	0.6817124543
179	0.6816483151
180	0.6815820509
181	0.681520119
182	0.6814682936
183	0.6814059769
184	0.6813414582
185	0.6812807429
186	0.681216841
187	0.6811563263
188	0.6810957197
189	0.6810262988
190	0.6809608105
191	0.6808950211
192	0.6808278517
193	0.6807716122
194	0.6807205592
195	0.6806634984
196	0.6805991065
197	0.6805441181
198	0.6804819788
199	0.6804215998
200	0.6803741817
201	0.680304808
202	0.6802478598
203	0.6801836926
204	0.6801224751
205	0.680065621
206	0.6800071265
207	0.6799329471
208	0.6798721629
209	0.6798123268
210	0.6797467852
211	0.6796871155
212	0.6796295717
213	0.6795634385
214	0.679496155
215	0.6794370041
216	0.6793730374
217	0.6793134048
218	0.6792605333
219	0.6792063793
220	0.6791391296
221	0.6790709902
222	0.6789962657
223	0.6789295855
224	0.6788732219
225	0.6788110502
226	0.6787505771
227	0.6786938572
228	0.6786371415
229	0.6785707187
230	0.6785017205
231	0.6784335856
232	0.6783627296
233	0.6782897677
234	0.6782271157
235	0.6781621892
236	0.6780971073
237	0.6780295544
238	0.6779694233
239	0.6779074459
240	0.6778388338
241	0.6777837196
242	0.6777143688
243	0.6776489109
244	0.6775845329
245	0.6775292867
246	0.677472728
247	0.6774037193
248	0.6773675485
249	0.6773112382
250	0.6772512092
251	0.6771965692
252	0.6771466074
253	0.6770893038
254	0.6770195816
255	0.6769506516
256	0.6768864953
257	0.6768306273
258	0.6767751144
259	0.6767203478
260	0.6766542809
261	0.6766047528
262	0.676545861
263	0.6764837467
264	0.6764131141
265	0.6763677721
266	0.6763134105
267	0.6762563784
268	0.6761985369
269	0.6761302175
270	0.6760828562
271	0.6760309194
272	0.6759868391
273	0.6759366649
274	0.6758791802
275	0.6758110603
276	0.6757486183
277	0.675681104
278	0.6756217658
279	0.6755621226
280	0.6754965372
281	0.6754378227
282	0.6753714874
283	0.6753091159
284	0.6752444922
285	0.6751913592
286	0.6751233627
287	0.6750581167
288	0.6750024471
289	0.6749444485
290	0.6748886092
291	0.6748174219
292	0.6747519116
293	0.6746920321
294	0.6746259038
