iter	Passed	Remaining
0	136	408251
1	137	205482
2	138	137873
3	138	104059
4	139	83772
5	140	70133
6	141	60492
7	142	53257
8	143	47627
9	144	43113
10	145	39429
11	146	36358
12	146	33760
13	147	31532
14	148	29612
15	149	27928
16	150	26440
17	151	25115
18	152	23926
19	153	22857
20	154	21891
21	155	21011
22	156	20207
23	157	19470
24	157	18793
25	158	18143
26	159	17561
27	160	17027
28	161	16526
29	162	16060
30	163	15630
31	164	15224
32	165	14840
33	165	14479
34	166	14144
35	167	13823
36	168	13517
37	169	13218
38	170	12943
39	171	12682
40	172	12431
41	173	12195
42	173	11955
43	174	11740
44	175	11535
45	176	11338
46	177	11151
47	178	10978
48	179	10807
49	180	10642
50	181	10483
51	182	10329
52	182	10170
53	183	10027
54	184	9889
55	185	9757
56	186	9629
57	187	9506
58	188	9387
59	189	9273
60	190	9161
61	191	9052
62	191	8948
63	192	8846
64	193	8752
65	194	8657
66	195	8564
67	196	8473
68	197	8386
69	198	8301
70	199	8219
71	200	8139
72	201	8061
73	201	7985
74	202	7912
75	203	7840
76	204	7769
77	205	7701
78	206	7634
79	207	7569
80	208	7504
81	209	7443
82	210	7383
83	210	7318
84	211	7261
85	212	7205
86	213	7149
87	214	7095
88	215	7043
89	216	6991
90	217	6941
91	218	6892
92	218	6839
93	219	6793
94	220	6746
95	221	6701
96	222	6657
97	223	6614
98	224	6573
99	225	6532
100	226	6491
101	227	6451
102	227	6411
103	228	6372
104	229	6331
105	230	6293
106	231	6256
107	232	6221
108	233	6185
109	234	6150
110	235	6116
111	235	6082
112	236	6049
113	237	6017
114	238	5985
115	239	5957
116	240	5929
117	241	5899
118	242	5869
119	243	5840
120	244	5811
121	245	5783
122	246	5755
123	246	5728
124	247	5701
125	248	5674
126	249	5648
127	250	5622
128	251	5597
129	252	5571
130	253	5546
131	254	5522
132	255	5500
133	256	5478
134	257	5457
135	258	5435
136	258	5412
137	259	5387
138	260	5365
139	261	5343
140	262	5321
141	263	5300
142	264	5279
143	265	5257
144	266	5237
145	266	5217
146	267	5197
147	268	5177
148	269	5158
149	270	5139
150	271	5121
151	272	5102
152	273	5084
153	274	5067
154	275	5049
155	276	5032
156	276	5015
157	277	4998
158	278	4981
159	279	4964
160	280	4947
161	281	4931
162	282	4914
163	283	4898
164	284	4882
165	285	4866
166	285	4851
167	286	4835
168	287	4820
169	288	4805
170	289	4790
171	290	4775
172	291	4761
173	292	4746
174	293	4731
175	294	4717
176	294	4703
177	295	4689
178	296	4675
179	297	4662
180	298	4648
181	299	4635
182	300	4623
183	301	4610
184	302	4598
185	303	4585
186	304	4573
187	304	4561
188	305	4548
189	306	4536
190	307	4524
191	308	4512
192	309	4500
193	310	4488
194	311	4476
195	312	4465
196	313	4453
197	313	4442
198	314	4432
199	315	4421
200	316	4410
201	317	4399
202	318	4388
203	319	4378
204	320	4368
205	321	4357
206	322	4346
207	323	4336
208	323	4325
209	324	4315
210	325	4305
211	326	4295
212	327	4285
213	328	4276
214	329	4266
215	330	4257
216	331	4250
217	332	4240
218	333	4230
219	333	4217
220	334	4208
221	335	4199
222	336	4190
223	337	4181
224	338	4172
225	339	4163
226	340	4154
227	341	4145
228	341	4135
229	342	4126
230	343	4118
231	344	4109
232	345	4101
233	346	4093
234	347	4085
235	348	4076
236	348	4068
237	349	4060
238	350	4052
239	351	4044
240	352	4036
241	353	4027
242	354	4019
243	355	4011
244	356	4003
245	356	3995
246	357	3988
247	358	3980
248	359	3969
249	360	3960
250	360	3953
251	361	3946
252	362	3939
253	363	3931
254	364	3924
255	365	3916
256	366	3910
257	367	3903
258	368	3895
259	369	3888
260	369	3882
261	370	3875
262	371	3868
263	372	3861
264	373	3854
265	374	3847
266	375	3840
267	376	3834
268	377	3827
269	377	3821
270	378	3815
271	379	3808
272	380	3802
273	381	3795
274	382	3789
275	383	3783
276	384	3777
277	385	3771
278	386	3765
279	386	3759
280	387	3753
281	388	3747
282	389	3741
283	390	3736
284	391	3730
285	392	3722
286	393	3717
287	394	3711
288	395	3705
289	395	3699
290	396	3693
291	397	3687
292	398	3682
293	399	3676
294	400	3671
295	401	3665
296	402	3660
297	403	3654
298	403	3649
299	404	3644
300	405	3638
301	406	3633
302	407	3628
303	408	3622
304	409	3617
305	410	3612
306	411	3605
307	411	3600
308	412	3595
309	413	3590
310	414	3585
311	415	3580
312	416	3575
313	417	3570
314	418	3565
315	419	3560
316	420	3555
317	421	3551
318	421	3546
319	422	3541
320	423	3537
321	424	3532
